formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	featureId
1	C9H16N2O4	[M + H]+	C9H17N2O4+	114.209	112.382	1.827	30	0.990	3.136	3.385	-0.761		217.118	22	567749658081161610	567749456842641014	207
1	C7H14N2O3	[M + H]+	C7H15N2O3+	49.899	47.681	2.218	11	0.970	-0.164	8.421	-2.049		175.107	21	567749691388130655	567749456897166970	215
1	C8H16N3O2	[M + H]+	C8H17N3O2+	41.620	41.620	0.000	16	0.807	4.009	4.009	0.357		187.132	22	567749663697334796	567749456947498622	223
1	C10H18N2O5S	[M + H]+	C10H19N2O5S+	72.517	72.517	0.000	14	0.975	2.120	2.732	-0.385		279.101	23	567749685088285887	567749456997830274	229
1	C12H21N3O4	[M + H]+	C12H22N3O4+	56.157	56.157	0.000	14	0.777	0.709	2.420	-0.800		272.160	23	567749665895150159	567749457052356230	230
1	C9H15NO3	[M + H]+	C9H16NO3+	51.630	51.630	0.000	10	0.993	2.842	7.127	-0.332		186.112	22	567749668977963667	567749457119465098	231
1	C6H11N3O2	[M + H]+	C6H12N3O2+	61.143	61.143	0.000	14	0.965	2.500	2.500	-0.396		158.092	22	567749666339746408	567749457161408142	234
1	C5H7NO3	[M + H]+	C5H8NO3+	37.275	34.731	2.544	5	0.989	6.640	6.640	0.122		130.050	20	567749676636763039	567749457207545490	239
1	C8H16N2O4	[M + Na]+	C8H16N2NaO4+	18.973	17.545	1.428	6	0.878	1.099	1.779	-1.362		227.100	22	567749656340525397	567749457257877142	243
1	C17H32N4O4	[M + H]+	C17H33N4O4+	43.906	43.906	0.000	11	0.998	-1.102	3.330	-1.808		357.249	24	567749684849210541	567749457312403098	246
1	C12H25N3O3	[M + Na]+	C12H25N3NaO3+	20.258	16.848	3.410	4	1.000	0.654	1.404	-0.655		282.179	24	567749685037954232	567749457362734750	248
1	C8H16N2O4	[M + H]+	C8H17N2O4+	87.056	82.462	4.595	16	0.996	3.395	3.395	-1.085		205.118	22	567749657254883693	567749457417260706	249
1	C15H34N4O6	[M - H4O2 + H]+	C15H31N4O4+	38.904	35.862	3.042	11	0.991	1.717	2.026	-108749.870		331.234	26	567749683850966129	567749457492758182	254
1	C10H16N2O4	[M + H]+	C10H17N2O4+	54.812	52.011	2.801	8	0.940	4.235	4.235	0.727		229.118	23	567749671402271474	567749457547284138	255
1	C11H19N3O3	[M + H]+	C11H20N3O3+	60.900	60.900	0.000	15	0.959	-0.145	2.737	-1.656		242.150	23	567749672471819020	567749457610198702	257
1	C8H14N6O3	[M + K]+	C8H14KN6O3+	45.640	45.640	0.000	14	0.712	1.690	4.357	-5.182		281.074	23	567749681460212757	567749457689890482	258
1	C7H11NO5	[M + Na]+	C7H11NNaO5+	11.135	6.928	4.206	1	0.032	1.978	1.978	-0.035		212.053	21	567749653517758770	567749457756999350	263
1	C14H20N4O4	[M + H3N + H]+	C14H24N5O4+	37.609	37.609	0.000	8	0.969	4.038	4.038	0.948		326.183	22	567749665245033017	567749457815719610	264
1	C12H28N2O2Si	[M + H]+	C12H29N2O2Si+	59.969	59.969	0.000	10	0.784	4.785	4.785	3.633		261.200	23	567749667056972413	567749457866051262	275
1	C11H14N4O2	[M + H]+	C11H15N4O2+	53.953	49.282	4.671	22	0.960	0.545	2.004	-0.711		235.119	23	567749676905198500	567749457916382914	283
1	C15H23N3O3	[M + H]+	C15H24N3O3+	88.795	83.682	5.114	11	0.990	0.244	1.110	-1.107		294.181	24	567749673524589373	567749457987686086	287
1	C7H10N2O2	[M + H]+	C7H11N2O2+	39.924	37.085	2.838	3	0.982	2.667	2.667	0.094		155.082	24	567749669426754217	567749458042212042	295
1	C7H11NO5	[M + H]+	C7H12NO5+	94.126	94.126	0.000	11	0.941	2.101	2.101	0.616		190.071	21	567749678905881577	567749458096737998	298
1	C10H18O6	[M + Na]+	C10H18NaO6+	6.618	4.237	2.381	0	0.000	2.941	2.941	5.071		257.101	24	567749676020200303	567749458147069650	302
1	C5H12N4O2	[M + Na]+	C5H12N4NaO2+	81.825	79.404	2.421	16	0.783	-0.187	4.706	-4.469		183.084	24	567749675030344548	567749458205789910	309
1	C14H18N2O6	[M + H]+	C14H19N2O6+	59.596	54.855	4.740	14	0.998	1.070	1.964	-1.397		311.123	24	567749673210016552	567749458264510170	310
1	C8H9NO	[M + H]+	C8H10NO+	45.291	42.079	3.213	8	0.995	2.627	2.627	-0.595		136.076	24	567749670924120800	567749458335813342	320
1	C9H8O3	[M + H]+	C9H9O3+	105.962	102.656	3.306	11	0.956	3.013	3.013	-0.214		165.055	24	567749674405393231	567749458390339298	321
1	C9H8O3	[M + H3N + H]+	C9H12NO3+	78.096	74.820	3.277	12	0.797	-0.201	1.806	-0.280		182.081	24	567749692117939570	567749458453253862	322
1	C6H9N3O5	[M + H]+	C6H10N3O5+	8.408	7.773	0.635	3	0.484	9.314	9.314	7.502		204.063	24	567749671259665127	567749458511974122	329
1	C9H8O3	[M - H2O + H]+	C9H7O2+	27.626	27.626	0.000	4	0.314	1.873	1.873	-122486.627		147.044	24	567749672622813975	567749458566500078	331
1	C12H20N4O3	[M + H]+	C12H21N4O3+	61.770	61.770	0.000	16	0.983	0.968	3.709	-1.100		269.161	21	567749663936410134	567749458621026034	336
1	C6H9N3O5	[M + Na]+	C6H9N3NaO5+	1.362	1.362	0.000	0	0.000	6.304	6.304	4.596		226.044	24	567749688305317145	567749458675551990	338
1	C15H30N4O5	[M + H]+	C15H31N4O5+	57.430	54.922	2.508	18	0.999	1.039	1.615	-0.595		347.229	24	567749677551121363	567749458730077946	339
1	C13H18N2O5	[M + H]+	C13H19N2O5+	42.703	42.703	0.000	11	0.993	-0.060	1.103	-1.194		283.129	23	567749681846088743	567749458797186814	343
1	C11H19N5O3	[M + H]+	C11H20N5O3+	68.084	65.211	2.873	23	0.990	0.601	1.067	-1.932		270.156	25	567749725605263661	567749458860101378	345
1	C7H13NO2	[M + H]+	C7H14NO2+	40.900	38.159	2.742	7	0.941	7.898	7.898	-0.205		144.102	22	567749666142614115	567749458935598854	347
1	C15H23N3O6	[M + H]+	C15H24N3O6+	65.197	61.756	3.441	13	0.979	0.937	2.596	-0.452		342.166	24	567749678582920158	567749458994319114	352
1	C9H14N2O5	[M + H]+	C9H15N2O5+	84.381	81.751	2.630	16	1.000	5.320	5.320	0.788		231.098	24	567749689752352048	567749459044650766	356
1	C12H25N3O3	[M + H]+	C12H26N3O3+	73.692	73.692	0.000	23	1.000	1.298	2.845	-1.030		260.197	24	567749684727575717	567749459090788114	357
1	C12H20N4O3	[M + H]+	C12H21N4O3+	81.950	81.950	0.000	24	0.968	0.577	1.364	-0.949		269.161	23	567749719036983421	567749459136925462	358
1	C9H18N2O4	[M + H]+	C9H19N2O4+	82.123	79.349	2.773	20	0.998	3.701	3.701	-1.174		219.134	25	567749674489279321	567749459187257114	376
1	C8H16N2O3	[M + H]+	C8H17N2O3+	50.299	48.917	1.382	9	0.999	0.964	1.599	-1.333		189.123	25	567749671419048700	567749459233394462	383
1	C17H27N5O4	[M + H]+	C17H28N5O4+	88.167	82.678	5.489	28	0.968	1.941	2.950	-1.252		366.213	25	567749694705825253	567749459325669158	385
1	C14H27N3O6S	[M + H]+	C14H28N3O6S+	75.521	74.088	1.433	26	0.990	1.781	3.382	-0.461		366.169	26	567749682609452113	567749459376000810	394
1	C14H27N3O6S	[M + Na]+	C14H27N3NaO6S+	37.265	37.265	0.000	17	0.859	-0.458	1.263	-0.806		388.151	26	567749703937488619	567749459434721070	396
1	C10H14N5O4	[M + H]+	C10H15N5O4+	44.857	43.321	1.536	15	0.855	1.200	2.836	-6.672		269.110	24	567749684417197193	567749459493441330	406
1	C8H16N2O3S	[M + H]+	C8H17N2O3S+	49.617	44.871	4.746	12	0.998	1.316	1.495	-0.350		221.095	28	567749682223576125	567749459552161590	408
1	C6H10N2O2	[M + Na]+	C6H10N2NaO2+	9.678	6.923	2.755	2	0.228	0.853	4.574	1.101		165.064	26	567749692377986440	567749459610881850	410
1	C10H20N2O4	[M + H]+	C10H21N2O4+	44.641	40.455	4.186	12	1.000	6.228	6.228	-0.975		233.149	26	567749676485768086	567749459665407806	413
1	C14H22N4O3	[M + H]+	C14H23N4O3+	64.327	64.327	0.000	17	0.990	1.110	1.729	-0.066		295.176	26	567749685180560585	567749459728322370	414
1	C8H13N3O3	[M + H]+	C8H14N3O3+	63.849	63.849	0.000	10	0.911	3.294	3.294	0.761		200.103	26	567749683758691420	567749459782848326	415
1	C11H16N4O2	[M + H]+	C11H17N4O2+	44.090	41.680	2.410	16	0.979	1.614	2.374	-0.688		237.134	27	567749683788051559	567749459833179978	418
1	C6H5NO3	[M + H]+	C6H6NO3+	28.700	25.853	2.846	4	0.492	3.845	3.845	0.043		140.034	26	567749680147395572	567749459883511630	444
1	C11H20N2O5	[M + K]+	C11H20KN2O5+	54.888	54.888	0.000	14	0.999	1.535	2.485	-0.621		299.100	28	567749719347361939	567749459938037586	450
1	C14H18N2O6	[M + Na]+	C14H18N2NaO6+	12.367	10.090	2.278	3	0.858	0.552	0.552	0.099		333.106	28	567749687101551856	567749460009340758	458
1	C17H32N4O6	[M + H]+	C17H33N4O6+	53.072	53.072	0.000	18	0.930	0.138	2.089	-1.699		389.239	26	567749692868720033	567749460059672410	461
1	C17H27N5O6	[M + H]+	C17H28N5O6+	46.967	40.832	6.135	13	0.977	1.548	2.055	-0.480		398.203	26	567749695439828487	567749460110004062	462
1	C10H18N2O5	[M + H]+	C10H19N2O5+	90.833	87.604	3.229	22	0.998	1.964	2.885	-1.092		247.129	25	567749677253325753	567749460160335714	463
1	C9H18N2O4	[M + Na]+	C9H18N2NaO4+	39.402	34.963	4.439	7	0.772	-0.304	1.503	-1.735		241.115	26	567749674350867274	567749460210667366	480
1	C12H28N2O2Si	[M + H]+	C12H29N2O2Si+	68.493	68.493	0.000	12	0.723	3.530	3.530	3.097		261.200	24	567749670307558079	567749460260999018	481
1	C15H27N3O7	[M + H]+	C15H28N3O7+	67.383	63.758	3.624	14	0.970	1.205	1.797	0.120		362.192	27	567749687965578499	567749460311330670	483
1	C11H20N2O4	[M + H]+	C11H21N2O4+	105.695	105.695	0.000	23	0.957	2.013	2.013	-0.393		245.149	29	567749693611111865	567749460357468018	487
1	C9H15N3O3	[M + H]+	C9H16N3O3+	65.935	65.935	0.000	14	0.734	4.134	4.717	-0.559		214.118	28	567749688234013967	567749460395216758	493
1	C10H18N2O3	[M + H]+	C10H19N2O3+	25.632	20.873	4.759	3	0.998	5.314	5.314	-0.506		215.139	28	567749681544098847	567749460432965498	495
1	C12H25N3O3	[M + Na]+	C12H25N3NaO3+	30.402	30.402	0.000	5	0.948	0.178	2.416	-0.587		282.179	27	567749708224067447	567749460466519934	498
1	C10H14N2O6	[M + H]+	C10H15N2O6+	76.990	74.674	2.316	14	1.000	1.716	1.716	1.379		259.093	27	567749729552103847	567749460504268674	499
1	C8H16N2O3	[M + Na]+	C8H16N2NaO3+	55.807	55.807	0.000	8	0.694	2.221	2.221	-0.772		211.105	28	567749687034442981	567749460546211718	500
1	C20H36N4O6	[M + Na]+	C20H36N4NaO6+	19.688	15.925	3.764	3	0.992	-2.638	2.638	-3.558		451.251	28	567749682399736905	567749460583960458	516
1	C11H16N4O2S	[M + H]+	C11H17N4O2S+	52.677	52.677	0.000	22	0.883	1.943	2.691	1.422		269.107	28	567749700875646648	567749460676235154	520
1	C12H21N5O4	[M + H]+	C12H22N5O4+	111.781	111.781	0.000	45	0.963	1.308	1.912	1.530		300.167	28	567749704302393078	567749460713983894	525
1	C11H19N3O3	[M + H]+	C11H20N3O3+	96.701	93.896	2.804	12	0.894	-0.346	0.862	-1.602		242.150	26	567749680638129151	567749460789481370	532
1	C17H32N6O4	[M + H]+	C17H33N6O4+	42.074	38.670	3.405	19	1.000	0.336	3.220	-1.239		385.255	26	567749677215577007	567749460831424414	533
1	C11H22N2O4S	[M + H]+	C11H23N2O4S+	55.464	55.464	0.000	17	0.969	1.621	1.844	-0.822		279.137	28	567749737319955051	567749460890144674	534
1	C11H20N2O5	[M + H]+	C11H21N2O5+	59.592	54.695	4.897	16	0.972	2.088	2.088	-0.608		261.144	34	567749705183196944	567749460965642150	545
1	C12H17N3O4	[M + H]+	C12H18N3O4+	80.865	80.865	0.000	22	0.977	0.134	0.537	-0.544		268.129	28	567749691115500884	567749461032751018	548
1	C6H13NO2	[M + H]+	C6H14NO2+	41.534	38.737	2.797	4	0.998	5.675	5.675	0.650		132.102	30	567749690251474235	567749461083082670	549
1	C11H16N2O2	[M + H3N + H]+	C11H20N3O2+	66.171	63.828	2.342	13	0.357	2.796	2.824	-1.113		226.155	32	567749697503426108	567749461141802930	561
1	C15H23N5O3	[M + H]+	C15H24N5O3+	48.232	48.232	0.000	21	0.983	-1.306	2.325	-1.953		322.187	29	567749692713530774	567749461192134582	563
1	C14H25N3O7	[M + Na]+	C14H25N3NaO7+	25.770	22.262	3.508	9	1.000	-0.012	1.002	-0.002		370.158	27	567749684161344638	567749461238271930	566
1	C18H16O2	[M + K]+	C18H16KO2+	4.186	4.186	0.000	0	0.000	-3.444	3.444	-3.221		303.077	29	567749692474455434	567749461284409278	572
1	C12H16N2O4	[M + H]+	C12H17N2O4+	44.447	41.454	2.993	14	0.997	0.507	3.391	-1.381		253.118	28	567749690750596424	567749461330546626	573
1	C14H25N3O7	[M + H]+	C14H26N3O7+	80.937	80.937	0.000	23	0.981	1.693	1.992	-0.825		348.176	25	567749681200165899	567749461376683974	574
1	C11H16N5O4	[M + H]+	C11H17N5O4+	37.642	34.898	2.744	20	0.991	3.150	5.904	-4.005		283.126	28	567749692235380092	567749461431209930	577
1	C23H40N2O5S	[M + Na]+	C23H40N2NaO5S+	46.466	46.466	0.000	15	1.000	0.710	3.152	-4.616		479.253	27	567749684673049755	567749461489930190	586
1	C10H20N2O4S	[M + H]+	C10H21N2O4S+	135.102	129.383	5.719	51	0.972	0.455	2.718	0.507		265.122	29	567749696656176678	567749461548650450	587
1	C15H23N3O6	[M + H]+	C15H24N3O6+	42.115	39.563	2.552	11	0.983	1.808	2.627	-0.656		342.166	30	567749694852625903	567749461607370710	588
1	C6H13NO2	[M + Na]+	C6H13NNaO2+	1.789	1.789	0.000	1	0.076	3.470	3.470	-0.339		154.084	30	567749734341999148	567749461661896666	590
1	C10H20N2O4S	[M + Na]+	C10H20N2NaO4S+	28.948	24.256	4.692	11	1.000	-0.090	1.065	-1.343		287.103	29	567749699948705413	567749461729005534	595
1	C11H14N4O2	[M + H]+	C11H15N4O2+	43.967	41.541	2.425	17	0.935	2.262	3.354	0.586		235.119	32	567749697901884999	567749461791920098	606
1	C15H23N5O4	[M + H]+	C15H24N5O4+	54.868	49.957	4.911	21	0.948	-1.843	3.238	-0.948		338.182	28	567749689160955173	567749461900972006	614
1	C9H18N2O4	[M + H]+	C9H19N2O4+	76.786	72.081	4.704	20	0.989	3.342	3.342	-0.969		219.134	32	567749698665248367	567749461955497962	617
1	C12H25N3O3	[M + H]+	C12H26N3O3+	69.495	69.495	0.000	21	1.000	1.156	2.267	0.181		260.197	30	567749687919441148	567749461997441006	619
1	C12H25N5O3	[M + H]+	C12H26N5O3+	86.429	81.000	5.428	33	0.993	0.279	2.652	-1.018		288.203	30	567749699978065551	567749462051966962	629
1	C24H35N5O6	[M + H]+	C24H36N5O6+	49.935	48.386	1.548	17	0.894	0.430	2.697	6.445		490.269	32	567749707481675616	567749462098104310	646
1	C11H14N2O4	[M + H]+	C11H15N2O4+	44.904	43.374	1.531	9	0.989	0.208	0.748	-0.913		239.102	31	567749694252840410	567749462140047354	650
1	C9H11NO3	[M + H]+	C9H12NO3+	90.997	87.791	3.206	15	0.972	2.180	3.141	1.155		182.081	31	567749698241623642	567749462181990398	651
1	C9H8O3	[M - H2O + H]+	C9H7O2+	31.153	27.946	3.206	4	0.283	3.097	3.097	-122483.421		147.044	29	567749738355948172	567749462228127746	659
1	C9H11NO3	[M + Na]+	C9H11NNaO3+	5.085	1.993	3.092	0	0.000	-0.093	0.093	1.206		204.063	31	567749693896324548	567749462270070790	662
1	C6H5NO3	[M + H]+	C6H6NO3+	19.731	19.731	0.000	3	0.476	2.877	2.877	-1.210		140.034	29	567749720341412034	567749462316208138	682
1	C8H18NO4	[M + H]+	C8H19NO4+	53.788	53.788	0.000	9	0.952	-1.794	6.850	3.187		193.131	31	567749693493671340	567749462362345486	684
1	C10H20N2O4	[M + H]+	C10H21N2O4+	50.847	46.132	4.715	15	0.995	6.725	6.725	-0.308		233.150	30	567749686002644181	567749462416871442	685
1	C15H16N4O3	[M + H]+	C15H17N4O3+	57.154	53.962	3.193	25	0.974	1.923	3.168	1.044		301.130	31	567749717770303581	567749462446231574	686
1	C9H18N2O4S	[M + H]+	C9H19N2O4S+	66.205	66.205	0.000	18	1.000	1.451	3.721	-0.974		251.106	28	567749691862087015	567749462479786010	687
1	C10H20N2O4	[M + Na]+	C10H20N2NaO4+	14.255	11.130	3.125	3	0.956	1.569	1.812	2.164		255.132	28	567749684547220628	567749462504951838	691
1	C15H21N3O3	[M + Na]+	C15H21N3NaO3+	8.318	8.318	0.000	3	0.659	6.677	6.677	0.343		314.148	32	567749697272739377	567749462534311970	692
1	C20H32N6O5	[M + H]+	C20H33N6O5+	59.353	53.446	5.908	25	0.992	0.086	1.864	-0.267		437.251	32	567749706391156530	567749462601420838	696
1	C10H18N2O3	[M + H]+	C10H19N2O3+	55.577	50.654	4.923	17	1.000	3.115	3.646	-0.576		215.139	30	567749696215774749	567749462655946794	704
1	C15H21N3O3	[M + H]+	C15H22N3O3+	112.339	106.925	5.414	40	0.984	-0.495	2.590	-1.143		292.165	32	567749706730895166	567749462710472750	705
1	C8H12N2O3	[M + H]+	C8H13N2O3+	71.455	69.093	2.362	19	0.930	2.685	4.021	0.138		185.092	32	567749700183586459	567749462802747442	720
1	C9H18N2O4	[M + H]+	C9H19N2O4+	44.300	42.142	2.158	6	0.980	5.252	5.252	-2.982		219.133	30	567749693955044814	567749462848884790	736
1	C10H18N2O5	[M + H]+	C10H19N2O5+	96.905	93.700	3.205	26	0.993	1.875	2.556	-0.815		247.129	32	567749714997868547	567749462890827834	739
1	C21H38N6O6	[M + H]+	C21H39N6O6+	47.311	47.311	0.000	18	0.966	1.019	1.328	0.850		471.293	33	567749699235673722	567749462932770878	743
1	C10H18N2O3	[M + Na]+	C10H18N2NaO3+	47.297	47.297	0.000	14	0.913	7.169	7.169	-0.983		237.121	32	567749700858869426	567749462974713922	746
1	C15H23N3O3	[M + H]+	C15H24N3O3+	51.828	51.828	0.000	13	0.990	2.040	2.040	0.947		294.181	35	567749719221532807	567749463033434182	749
1	C11H19N5O3	[M + H]+	C11H20N5O3+	73.655	70.432	3.223	26	0.989	0.324	1.764	-1.676		270.156	33	567749712011524036	567749463083765834	756
1	C12H23N3O5	[M + H]+	C12H24N3O5+	99.022	96.271	2.751	28	0.995	0.259	2.298	-0.969		290.171	33	567749706181441320	567749463134097486	757
1	C15H23N5O3	[M + H]+	C15H24N5O3+	60.633	55.132	5.501	24	0.991	0.701	2.145	-0.453		322.187	36	567749712917493713	567749463180234834	764
1	C9H14N2O3	[M + H]+	C9H15N2O3+	75.924	75.924	0.000	14	0.997	5.868	5.868	-0.276		199.108	33	567749711076194192	567749463255732310	770
1	C8H16N2O4	[M + H]+	C8H17N2O4+	107.223	102.703	4.520	12	0.968	1.025	2.420	-1.333		205.118	28	567749707280349002	567749463297675354	778
1	C13H20N4O3	[M + H]+	C13H21N4O3+	72.358	69.001	3.356	22	1.000	1.831	2.569	-0.207		281.161	32	567749700183586469	567749463339618398	783
1	C23H36N8O6	[M + H]+	C23H37N8O6+	26.879	20.902	5.978	6	0.991	2.585	2.596	-1.645		521.282	34	567749708140181356	567749463389950050	785
1	C11H16N5O4	[M + H]+	C11H17N5O4+	29.966	29.966	0.000	21	0.974	6.160	7.747	-4.005		283.126	33	567749705036396294	567749463431893094	797
1	C8H9NO	[M + H]+	C8H10NO+	62.503	59.426	3.076	7	0.934	6.957	6.957	1.026		136.076	31	567749701790004948	567749463503196266	802
