structure_inchikey_short,structure,signalling
VKHAHZOOUSRJNA,http://www.wikidata.org/entity/Q411240,paracrine signaling
PNCPYILNMDWPEY,http://www.wikidata.org/entity/Q411770,neuron-glial cell signaling
JOFWLTCLBGQGBO,http://www.wikidata.org/entity/Q412143,gamma-aminobutyric acid signaling pathway
RAPZEAPATHNIPO,http://www.wikidata.org/entity/Q412443,neuron-glial cell signaling
ZJQHPWUVQPJPQT,http://www.wikidata.org/entity/Q412504,gamma-aminobutyric acid signaling pathway
OQDPVLVUJFGPGQ,http://www.wikidata.org/entity/Q413976,neuron-glial cell signaling
VJKUPQSHOVKBCO,http://www.wikidata.org/entity/Q416602,gamma-aminobutyric acid signaling pathway
FRQMUZJSZHZSGN,http://www.wikidata.org/entity/Q416667,paracrine signaling
UEQUQVLFIPOEMF,http://www.wikidata.org/entity/Q416701,neuron-glial cell signaling
WWYNJERNGUHSAO,http://www.wikidata.org/entity/Q416950,paracrine signaling
WYWIFABBXFUGLM,http://www.wikidata.org/entity/Q417813,neuron-glial cell signaling
JJCFRYNCJDLXIK,http://www.wikidata.org/entity/Q417884,neuron-glial cell signaling
DRHKJLXJIQTDTD,http://www.wikidata.org/entity/Q418480,neuron-glial cell signaling
RUZYUOTYCVRMRZ,http://www.wikidata.org/entity/Q419939,neuron-glial cell signaling
MRBDMNSDAVCSSF,http://www.wikidata.org/entity/Q420360,neuron-glial cell signaling
TTWJBBZEZQICBI,http://www.wikidata.org/entity/Q421095,gamma-aminobutyric acid signaling pathway
VIKNJXKGJWUCNN,http://www.wikidata.org/entity/Q421352,paracrine signaling
SONNWYBIRXJNDC,http://www.wikidata.org/entity/Q421910,neuron-glial cell signaling
OFBIFZUFASYYRE,http://www.wikidata.org/entity/Q421920,gamma-aminobutyric acid signaling pathway
DDLIGBOFAVUZHB,http://www.wikidata.org/entity/Q423071,neuron-glial cell signaling
KORNTPPJEAJQIU,http://www.wikidata.org/entity/Q423308,neuron-glial cell signaling
BKRGVLQUQGGVSM,http://www.wikidata.org/entity/Q424446,neuron-glial cell signaling
IENZQIKPVFGBNW,http://www.wikidata.org/entity/Q425296,neuron-glial cell signaling
WJAJPNHVVFWKKL,http://www.wikidata.org/entity/Q685119,neuron-glial cell signaling
RFWZESUMWJKKRN,http://www.wikidata.org/entity/Q901963,neuron-glial cell signaling
SGUAFYQXFOLMHL,http://www.wikidata.org/entity/Q958087,neuron-glial cell signaling
OOLLAFOLCSJHRE,http://www.wikidata.org/entity/Q975059,paracrine signaling
BMUKKTUHUDJSNZ,http://www.wikidata.org/entity/Q1117888,neuron-glial cell signaling
FWJKNZONDWOGMI,http://www.wikidata.org/entity/Q1176294,gamma-aminobutyric acid signaling pathway
BGRJTUBHPOOWDU,http://www.wikidata.org/entity/Q1452256,gamma-aminobutyric acid signaling pathway
UZVHFVZFNXBMQJ,http://www.wikidata.org/entity/Q1606543,gamma-aminobutyric acid signaling pathway
KZUIYQJTUIACIG,http://www.wikidata.org/entity/Q1722024,paracrine signaling
CKFBRGLGTWAVLG,http://www.wikidata.org/entity/Q1978481,paracrine signaling
OQJFBUOFGHPMSR,http://www.wikidata.org/entity/Q2013712,gamma-aminobutyric acid signaling pathway
BPQMGSKTAYIVFO,http://www.wikidata.org/entity/Q2070286,epithelial-mesenchymal cell signaling
MWQCHHACWWAQLJ,http://www.wikidata.org/entity/Q2149443,gamma-aminobutyric acid signaling pathway
CHBRHODLKOZEPZ,http://www.wikidata.org/entity/Q2263999,gamma-aminobutyric acid signaling pathway
AURFZBICLPNKBZ,http://www.wikidata.org/entity/Q2482223,gamma-aminobutyric acid signaling pathway
WNMJYKCGWZFFKR,http://www.wikidata.org/entity/Q2736873,neuron-glial cell signaling
DKGZKTPJOSAWFA,http://www.wikidata.org/entity/Q3077150,neuron-glial cell signaling
DHMTURDWPRKSOA,http://www.wikidata.org/entity/Q3258910,endocrine signaling
IYGYMKDQCDOMRE,http://www.wikidata.org/entity/Q3639734,gamma-aminobutyric acid signaling pathway
UJEWTUDSLQGTOA,http://www.wikidata.org/entity/Q3905617,gamma-aminobutyric acid signaling pathway
JUQLTPCYUFPYKE,http://www.wikidata.org/entity/Q3937260,neuron-glial cell signaling
ZXRVKCBLGJOCEE,http://www.wikidata.org/entity/Q4130924,gamma-aminobutyric acid signaling pathway
JGMOKGBVKVMRFX,http://www.wikidata.org/entity/Q4161380,paracrine signaling
JTEJPPKMYBDEMY,http://www.wikidata.org/entity/Q4352011,gamma-aminobutyric acid signaling pathway
LYPCGXKCQDYTFV,http://www.wikidata.org/entity/Q4734914,gamma-aminobutyric acid signaling pathway
GJMNAFGEUJBOCE,http://www.wikidata.org/entity/Q4807593,paracrine signaling
AYYCFGDXLUPJAQ,http://www.wikidata.org/entity/Q4836102,neuron-glial cell signaling
LWUDDYHYYNNIQI,http://www.wikidata.org/entity/Q4961977,gamma-aminobutyric acid signaling pathway
GADIKQPUNWAMEB,http://www.wikidata.org/entity/Q5205608,gamma-aminobutyric acid signaling pathway
OPQRBXUBWHDHPQ,http://www.wikidata.org/entity/Q5402458,gamma-aminobutyric acid signaling pathway
MOZPSIXKYJUTKI,http://www.wikidata.org/entity/Q5514388,gamma-aminobutyric acid signaling pathway
CBIAWPMZSFFRGN,http://www.wikidata.org/entity/Q6024927,gamma-aminobutyric acid signaling pathway
KRVDMABBKYMBHG,http://www.wikidata.org/entity/Q6085784,gamma-aminobutyric acid signaling pathway
BQDUNOMMYOKHEP,http://www.wikidata.org/entity/Q6456086,gamma-aminobutyric acid signaling pathway
CGWOIDCAGBKOQL,http://www.wikidata.org/entity/Q6456085,neuron-glial cell signaling
JVGBTTIJPBFLTE,http://www.wikidata.org/entity/Q6592066,neuron-glial cell signaling
SJDOMIRMMUGQQK,http://www.wikidata.org/entity/Q6952318,neuron-glial cell signaling
QFFCYTLOTYIJMR,http://www.wikidata.org/entity/Q7249694,paracrine signaling
CFSOJZTUTOQNIA,http://www.wikidata.org/entity/Q7339199,gamma-aminobutyric acid signaling pathway
HGEYJZMMUGWEOT,http://www.wikidata.org/entity/Q7372445,neuron-glial cell signaling
AOOSJYIINXVNHV,http://www.wikidata.org/entity/Q7388901,gamma-aminobutyric acid signaling pathway
JOAHPSVPXZTVEP,http://www.wikidata.org/entity/Q7702355,neuron-glial cell signaling
ALBKMJDFBZVHAK,http://www.wikidata.org/entity/Q8063121,gamma-aminobutyric acid signaling pathway
NZMJFRXKGUCYNP,http://www.wikidata.org/entity/Q8083967,gamma-aminobutyric acid signaling pathway
VMDUABMKBUKKPG,http://www.wikidata.org/entity/Q10861098,gamma-aminobutyric acid signaling pathway
GEFQWZLICWMTKF,http://www.wikidata.org/entity/Q12745763,neuron-glial cell signaling
SRJOCJYGOFTFLH,http://www.wikidata.org/entity/Q15239768,gamma-aminobutyric acid signaling pathway
ISHXLNHNDMZNMC,http://www.wikidata.org/entity/Q15295638,paracrine signaling
YYQRGCZGSFRBAM,http://www.wikidata.org/entity/Q15305564,gamma-aminobutyric acid signaling pathway
JXTAALBWJQJLGN,http://www.wikidata.org/entity/Q15408425,gamma-aminobutyric acid signaling pathway|neuron-glial cell signaling
