structure_inchikey_short,structure,organism
SOSGLWHQVQUMLM,http://www.wikidata.org/entity/Q27163016,Pseudomonas aeruginosa
OLOTULRNHWZRKJ,http://www.wikidata.org/entity/Q27225319,Pseudomonas aeruginosa
POAXUNDIOGWQOC,http://www.wikidata.org/entity/Q27225317,Pseudomonas aeruginosa
IVURTNNWJAPOML,http://www.wikidata.org/entity/Q27225352,Pseudomonas aeruginosa
INPMVLIHPFWVLB,http://www.wikidata.org/entity/Q27225502,Pseudomonas aeruginosa
MUDZFKKAMBPIJZ,http://www.wikidata.org/entity/Q27225500,Pseudomonas aeruginosa
CUYPWOPOBAHCCE,http://www.wikidata.org/entity/Q27225501,Pseudomonas aeruginosa
RMSOWPIMGWWPCR,http://www.wikidata.org/entity/Q27225504,Pseudomonas aeruginosa
WRYLYDPHFGVWKC,http://www.wikidata.org/entity/Q27280168,Pseudomonas aeruginosa
FYSSBMZUBSBFJL,http://www.wikidata.org/entity/Q27289079,Pseudomonas aeruginosa
TZWZKDULKILUPV,http://www.wikidata.org/entity/Q27461120,Pseudomonas aeruginosa
KKRXDNYRUZGPFM,http://www.wikidata.org/entity/Q27463885,Pseudomonas aeruginosa
AYFVYJQAPQTCCC,http://www.wikidata.org/entity/Q44073885,Pseudomonas aeruginosa
JPGWTZORMBTNMF,http://www.wikidata.org/entity/Q55086394,Pseudomonas aeruginosa
UYRHHBXYXSYGHA,http://www.wikidata.org/entity/Q55973990,Pseudomonas aeruginosa
GATNOFPXSDHULC,http://www.wikidata.org/entity/Q69756364,Pseudomonas aeruginosa
IRNQEHWHRAZAPL,http://www.wikidata.org/entity/Q72481433,Pseudomonas aeruginosa
NTBYIQWZAVDRHA,http://www.wikidata.org/entity/Q75055315,Pseudomonas aeruginosa
MWYYLZRWWNBROW,http://www.wikidata.org/entity/Q75056830,Pseudomonas aeruginosa
QQIDJUCXUQXXFU,http://www.wikidata.org/entity/Q75064784,Pseudomonas aeruginosa
ABMVTHXMVSOQJZ,http://www.wikidata.org/entity/Q75068928,Pseudomonas aeruginosa
IYXNNGRYVMRROG,http://www.wikidata.org/entity/Q75070019,Pseudomonas aeruginosa
CRNBNAMWJPGWNJ,http://www.wikidata.org/entity/Q77369191,Pseudomonas aeruginosa
WHCYZGLGDNCDKO,http://www.wikidata.org/entity/Q77372152,Pseudomonas aeruginosa
JRMCJWMKLHLRLM,http://www.wikidata.org/entity/Q77377344,Pseudomonas aeruginosa
QUOZVRXORPMWDL,http://www.wikidata.org/entity/Q77420112,Pseudomonas aeruginosa
OADJURFAGVHFQN,http://www.wikidata.org/entity/Q77494856,Pseudomonas aeruginosa
PNTZQSRGXCNNOT,http://www.wikidata.org/entity/Q77499486,Pseudomonas aeruginosa
SSQJIUWSCJLTTP,http://www.wikidata.org/entity/Q77502618,Pseudomonas aeruginosa
RMHSCAZOUHDWNT,http://www.wikidata.org/entity/Q77513262,Pseudomonas aeruginosa
NTMRGNGSPRGFGC,http://www.wikidata.org/entity/Q77519078,Pseudomonas aeruginosa
ABMVTHXMVSOQJZ,http://www.wikidata.org/entity/Q77521669,Pseudomonas aeruginosa
ZFDAUYPBCXMSBF,http://www.wikidata.org/entity/Q77561210,Pseudomonas aeruginosa
MDYSLOGZXCWLSL,http://www.wikidata.org/entity/Q77562142,Pseudomonas aeruginosa
SZJNCZMRZAUNQT,http://www.wikidata.org/entity/Q81988364,Pseudomonas aeruginosa
ZNTUDOOZDLMYAG,http://www.wikidata.org/entity/Q82648062,Pseudomonas aeruginosa
CQNMQTYIULLBAS,http://www.wikidata.org/entity/Q83033644,Pseudomonas aeruginosa
PGYZQLIUYISMJD,http://www.wikidata.org/entity/Q83056250,Pseudomonas aeruginosa
DUZDMTRWNMGFEW,http://www.wikidata.org/entity/Q103818728,Pseudomonas aeruginosa
