structure,structure_smiles_canonical,structure_smiles_isomeric,structure_inchi,structure_inchikey,organism
http://www.wikidata.org/entity/Q27163016,C(=CC(=O)O)C(=C(C(=O)O)Cl)Cl,C(=C\C(=O)O)\C(=C(/C(=O)O)\Cl)\Cl,"InChI=1S/C6H4Cl2O4/c7-3(1-2-4(9)10)5(8)6(11)12/h1-2H,(H,9,10)(H,11,12)/b2-1-,5-3-",SOSGLWHQVQUMLM-NWJCXACMSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q27104985,C1=CC(=C2C(=C1)N=C3C(=N2)C=CC=C3C(=O)O)C(=O)O,,"InChI=1S/C14H8N2O4/c17-13(18)7-3-1-5-9-11(7)16-10-6-2-4-8(14(19)20)12(10)15-9/h1-6H,(H,17,18)(H,19,20)",MJALVONLCNWZHK-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q27134662,CC(=O)OC(C(CC1=CC=C(C=C1)OC)O)C(CO)O,,"InChI=1S/C14H20O6/c1-9(16)20-14(13(18)8-15)12(17)7-10-3-5-11(19-2)6-4-10/h3-6,12-15,17-18H,7-8H2,1-2H3",JATBUOZGJQJSGA-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q27093460,CS(=O)CCC(C(=O)O)N,C[S@](=O)CC[C@@H](C(=O)O)N,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-,10-/m0/s1",QEFRNWWLZKMPFJ-MFXDVPHUSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q27094610,CC(C(C(=O)O)N)O,C[C@H]([C@H](C(=O)O)N)O,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3-/m1/s1",AYFVYJQAPQTCCC-PWNYCUMCSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q27131721,CCCCCCCC(CC(=O)O)OC(=O)CC(CCCCCCC)OC1C(C(C(C(O1)C)O)O)O,CCCCCCCC(CC(=O)O)OC(=O)CC(CCCCCCC)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O,"InChI=1S/C26H48O9/c1-4-6-8-10-12-14-19(16-21(27)28)34-22(29)17-20(15-13-11-9-7-5-2)35-26-25(32)24(31)23(30)18(3)33-26/h18-20,23-26,30-32H,4-17H2,1-3H3,(H,27,28)/t18-,19?,20?,23-,24+,25+,26-/m0/s1",PPMPLIBYTIWXPG-MSJADDGSSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q27461120,CCCCCCCCCC(=O)NC1CCOC1=O,CCCCCCCCCC(=O)N[C@H]1CCOC1=O,"InChI=1S/C14H25NO3/c1-2-3-4-5-6-7-8-9-13(16)15-12-10-11-18-14(12)17/h12H,2-11H2,1H3,(H,15,16)/t12-/m0/s1",TZWZKDULKILUPV-LBPRGKRZSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q104993063,O=C(O)CC(OC(=O)CC(OC1OC(C)C(O)C(O)C1OC2OC(C)C(O)C(O)C2O)CCCCCCC)CCCCCCC,CCCCCCC[C@H](CC(=O)O)OC(=O)C[C@@H](CCCCCCC)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C32H58O13/c1-5-7-9-11-13-15-21(17-23(33)34)43-24(35)18-22(16-14-12-10-8-6-2)44-32-30(28(39)26(37)20(4)42-32)45-31-29(40)27(38)25(36)19(3)41-31/h19-22,25-32,36-40H,5-18H2,1-4H3,(H,33,34)/t19-,20-,21+,22+,25-,26-,27+,28+,29+,30+,31-,32-/m0/s1",FCBUKWWQSZQDDI-HYFZAEJMSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q27104973,C1CC2C(=O)NC(C(=O)N2C1)CC3=CC=CC=C3,C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=CC=C3,"InChI=1S/C14H16N2O2/c17-13-12-7-4-8-16(12)14(18)11(15-13)9-10-5-2-1-3-6-10/h1-3,5-6,11-12H,4,7-9H2,(H,15,17)/t11-,12-/m0/s1",QZBUWPVZSXDWSB-RYUDHWBXSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q371817,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C2=CNC=C2Cl,,"InChI=1S/C10H6Cl2N2O2/c11-8-3-1-2-6(10(8)14(15)16)7-4-13-5-9(7)12/h1-5,13H",QJBZDBLBQWFTPZ-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q15726063,CCCCCCCC(=O)C,,"InChI=1S/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3",VKCYHJWLYTUGCC-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q81988364,CC(C)CC1NC(=O)C2CCCN2C1=O,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,"InChI=1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)/t8-,9-/m0/s1",SZJNCZMRZAUNQT-IUCAKERBSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q77369191,CSCCC(N)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C=O)CCC(N)=O)C(C)C,,"InChI=1S/C46H83N13O11S/c1-26(2)23-34(43(67)52-28(5)39(63)54-30(25-60)16-17-36(50)61)57-45(69)38(27(3)4)58-40(64)29(6)53-44(68)35-15-12-21-59(35)46(70)33(14-9-11-20-48)55-37(62)24-51-42(66)32(13-8-10-19-47)56-41(65)31(49)18-22-71-7/h25-35,38H,8-24,47-49H2,1-7H3,(H2,50,61)(H,51,66)(H,52,67)(H,53,68)(H,54,63)(H,55,62)(H,56,65)(H,57,69)(H,58,64)",CRNBNAMWJPGWNJ-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q104919962,O=C1C=C(NC=2C=CC=CC12)CCC=CCCCCCCC,CCCCCCC/C=C\CCc1cc(=O)c2ccccc2[nH]1,"InChI=1S/C20H27NO/c1-2-3-4-5-6-7-8-9-10-13-17-16-20(22)18-14-11-12-15-19(18)21-17/h8-9,11-12,14-16H,2-7,10,13H2,1H3,(H,21,22)/b9-8-",AWCWOJPATVETFJ-HJWRWDBZSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q103818728,O=C1C=C(NC=2C=CC=CC12)CCCC3CC3CCCCCC,,"InChI=1S/C21H29NO/c1-2-3-4-5-9-16-14-17(16)10-8-11-18-15-21(23)19-12-6-7-13-20(19)22-18/h6-7,12-13,15-17H,2-5,8-11,14H2,1H3,(H,22,23)",DUZDMTRWNMGFEW-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q77377344,O=C1OC2CC(O)(C)C3CC4(C)CCC5(OC(C=C(C)C)CC5C)C4CC=C1C23,CC(C)=C[C@H]1C[C@H](C)[C@]2(CC[C@]3(C)C[C@H]4[C@H]5/C(=C\C[C@@H]23)C(=O)O[C@H]5C[C@@]4(C)O)O1,"InChI=1S/C25H36O4/c1-14(2)10-16-11-15(3)25(29-16)9-8-23(4)12-18-21-17(6-7-20(23)25)22(26)28-19(21)13-24(18,5)27/h6,10,15-16,18-21,27H,7-9,11-13H2,1-5H3/b17-6+/t15-,16-,18-,19-,20+,21+,23+,24+,25-/m0/s1",JRMCJWMKLHLRLM-XZKUGGLCSA-N,Pseudomonas aeruginosa
